2.000000e+03 	 ,  3.411263e-03 	 ,  3.043810e-03 	 ,  2.845314e-03 	 ,  2.909821e-03   
2.501837e+03 	 ,  5.253162e-03 	 ,  4.723733e-03 	 ,  4.392245e-03 	 ,  4.443651e-03   
3.129594e+03 	 ,  8.223705e-03 	 ,  7.530125e-03 	 ,  6.883464e-03 	 ,  6.880521e-03   
3.914868e+03 	 ,  1.255931e-02 	 ,  1.156193e-02 	 ,  1.119097e-02 	 ,  1.051995e-02   
4.897181e+03 	 ,  1.941493e-02 	 ,  1.805553e-02 	 ,  1.706855e-02 	 ,  1.632363e-02   
6.125974e+03 	 ,  2.995550e-02 	 ,  2.809148e-02 	 ,  2.601759e-02 	 ,  2.532652e-02   
7.663094e+03 	 ,  4.619601e-02 	 ,  4.358249e-02 	 ,  4.680226e-02 	 ,  3.922444e-02   
9.585907e+03 	 ,  7.150245e-02 	 ,  6.799987e-02 	 ,  6.117854e-02 	 ,  6.103103e-02   
1.199119e+04 	 ,  1.104558e-01 	 ,  1.055951e-01 	 ,  9.442771e-02 	 ,  9.468708e-02   
1.500000e+04 	 ,  1.712121e-01 	 ,  1.644603e-01 	 ,  1.464428e-01 	 ,  1.473473e-01   
