1.000000e+00 	 ,  3.000000e+00 	 ,  8.925582e-03 	 ,  3.530848e-02 	 ,  2.360204e-03 	 ,  1.246994e-03 	 ,  5.078371e-03 	 ,  4.807191e-04  	 ,  8.090330e-05 	 ,  2.124750e-05 	 ,  4.051350e-05 
1.000000e+00 	 ,  3.038433e+00 	 ,  9.143553e-03 	 ,  3.618691e-02 	 ,  2.419940e-03 	 ,  1.278087e-03 	 ,  5.208011e-03 	 ,  4.938443e-04  	 ,  8.332497e-05 	 ,  2.188112e-05 	 ,  4.174379e-05 
1.000000e+00 	 ,  3.077358e+00 	 ,  9.366157e-03 	 ,  3.708442e-02 	 ,  2.481001e-03 	 ,  1.309857e-03 	 ,  5.340555e-03 	 ,  5.072879e-04  	 ,  8.581034e-05 	 ,  2.253133e-05 	 ,  4.300715e-05 
1.000000e+00 	 ,  3.116782e+00 	 ,  9.593475e-03 	 ,  3.800137e-02 	 ,  2.543413e-03 	 ,  1.342317e-03 	 ,  5.476060e-03 	 ,  5.210568e-04  	 ,  8.836085e-05 	 ,  2.319850e-05 	 ,  4.430433e-05 
1.000000e+00 	 ,  3.156711e+00 	 ,  9.825592e-03 	 ,  3.893810e-02 	 ,  2.607199e-03 	 ,  1.375479e-03 	 ,  5.614579e-03 	 ,  5.351575e-04  	 ,  9.097793e-05 	 ,  2.388301e-05 	 ,  4.563613e-05 
1.000000e+00 	 ,  3.197152e+00 	 ,  1.006259e-02 	 ,  3.989496e-02 	 ,  2.672385e-03 	 ,  1.409356e-03 	 ,  5.756171e-03 	 ,  5.495970e-04  	 ,  9.366306e-05 	 ,  2.458524e-05 	 ,  4.700334e-05 
1.000000e+00 	 ,  3.238111e+00 	 ,  1.030455e-02 	 ,  4.087232e-02 	 ,  2.738997e-03 	 ,  1.443960e-03 	 ,  5.900890e-03 	 ,  5.643823e-04  	 ,  9.641776e-05 	 ,  2.530558e-05 	 ,  4.840677e-05 
1.000000e+00 	 ,  3.279594e+00 	 ,  1.055157e-02 	 ,  4.187054e-02 	 ,  2.807062e-03 	 ,  1.479304e-03 	 ,  6.048796e-03 	 ,  5.795205e-04  	 ,  9.924354e-05 	 ,  2.604442e-05 	 ,  4.984724e-05 
1.000000e+00 	 ,  3.321609e+00 	 ,  1.080372e-02 	 ,  4.288997e-02 	 ,  2.876604e-03 	 ,  1.515402e-03 	 ,  6.199946e-03 	 ,  5.950188e-04  	 ,  1.021420e-04 	 ,  2.680216e-05 	 ,  5.132561e-05 
1.000000e+00 	 ,  3.364162e+00 	 ,  1.106109e-02 	 ,  4.393100e-02 	 ,  2.947651e-03 	 ,  1.552266e-03 	 ,  6.354399e-03 	 ,  6.108845e-04  	 ,  1.051146e-04 	 ,  2.757922e-05 	 ,  5.284273e-05 
